Book,Series,Series Number,Author,Low Magic - High Magic,Low Fantasy - High Fantasy,Grim - Noble,Dark - Bright,Sad - Happy,Calm - Passionate,Word Count,Page Count,Goodreads,Published,Added By
The Combat Codes,The Combat Codes,1.0,Alexander Darwin,0.0,5.1,4.6,4.2,4.4,5.5,121992,408,3.96,2015,Alex Griffith
How to Defeat a Demon King in Ten Easy Steps,How to Defeat a Demon King in Ten Easy Steps,1.0,Andrew Rowe,9.8,2.5,9.5,9.3,8.6,7.2,49000,161,4.02,2020,Alex Griffith
Blood of Elves,The Witcher,1.0,Andrzej Sapkowski,5.4,9.0,7.0,4.0,4.0,6.0,119002,420,4.1,1994,Alex Griffith
The Court of Broken Knives,Empires of Dust,1.0,Anna Smith Spark,2.6,6.5,0.8,4.2,4.0,4.5,140530,470,3.46,2017,Alex Griffith
Interview with the Vampire,The Vampire Chronicles,1.0,Anne Rice,1.5,2.0,4.0,5.5,3.0,7.0,103454,371,4.0,1976,Kristen Merke
Blood Song,The Raven's Shadow,1.0,Anthony Ryan,3.5,6.2,7.1,5.5,7.5,5.5,200825,591,4.38,2011,Alex Griffith
The Final Empire,Mistborn,1.0,Brandon Sanderson,5.8,7.5,7.1,4.1,6.5,6.5,210103,541,4.44,2006,Alex Griffith
The Well of Ascension,Mistborn,2.0,Brandon Sanderson,6.7,7.8,7.4,3.8,6.1,5.9,244371,590,4.37,2007,Alex Griffith
The Way of Kings,The Stormlight Archive,1.0,Brandon Sanderson,6.7,8.5,7.0,6.8,6.2,7.7,383389,1007,4.61,2010,Alex Griffith
Words of Radiance,The Stormlight Archive,2.0,Brandon Sanderson,7.2,8.5,7.2,7.5,7.2,7.8,399431,1087,4.74,2014,Alex Griffith
Oathbringer,The Stormlight Archive,3.0,Brandon Sanderson,7.4,8.6,8.2,7.4,7.4,7.5,458045,1243,4.58,2017,Alex Griffith
Warbreaker,Warbreaker,1.0,Brandon Sanderson,8.1,7.4,7.4,6.1,7.0,7.8,196014,688,4.29,2009,Alex Griffith
Steelheart,The Reckoners,1.0,Brandon Sanderson,4.5,4.0,7.6,6.8,7.0,7.7,107599,386,4.14,2013,Alex Griffith
The Silver Ship and the Sea,Fremont's Children,1.0,Brenda Cooper,0.0,6.0,7.0,5.5,6.0,6.0,119600,400,3.71,2007,Jenna Honsl
The Forest of Hands and Teeth,The Forest of Hands and Teeth,1.0,Carrie Ryan,0.0,4.5,1.2,1.2,1.8,7.6,92690,310,3.6,2009,Kristen Merke
Damned,Damned Series,1.0,Chuck Palahniuk,3.0,6.4,3.2,0.75,4.8,4.78,76544,256,3.39,2011,Kristen Merke
Lullaby,Lullaby,1.0,Chuck Palahniuk,3.0,1.0,2.5,5.5,6.5,7.0,77740,260,3.73,2002,Kristen Merke
Son of a Trickster,Trickster Series,1.0,Eden Robinson,4.5,2.0,7.4,5.5,4.5,6.3,100464,336,3.84,2017,Kristen Merke
The Black Company,The Chronicles of the Black Company,1.0,Glen Cook,4.5,6.0,3.0,3.0,5.5,4.0,95381,319,3.9,1984,Alex Griffith
Harry Potter and the Philosopher's Stone,Harry Potter,1.0,J.K. Rowling,9.0,2.3,9.5,8.5,7.0,4.0,76944,223,4.47,1997,Alex Griffith
Harry Potter and The Chamber of Secrets,Harry Potter,2.0,J.K. Rowling,8.0,2.3,8.5,9.5,4.3,8.0,85141,251,4.43,1998,Alex Griffith
Harry Potter and The Prisoner of Azkaban,Harry Potter,3.0,J.K. Rowling,8.0,2.4,8.7,7.5,5.4,8.0,107253,435,4.57,1999,Alex Griffith
Harry Potter and The Goblet of Fire,Harry Potter,4.0,J.K. Rowling,8.1,2.4,8.2,7.4,7.7,8.3,190637,734,4.56,2000,Alex Griffith
The Hobbit,The Lord of The Rings,0.5,J.R.R. Tolkien,3.1,3.0,5.4,6.5,7.0,6.8,95356,304,4.28,1937,Alex Griffith
The Fellowship of the Ring,The Lord of The Rings,1.0,J.R.R. Tolkien,3.4,7.0,8.1,5.4,4.9,6.2,187790,432,4.38,1954,Alex Griffith
The Two Towers,The Lord of The Rings,2.0,J.R.R. Tolkien,3.6,7.2,8.2,5.2,4.7,6.2,156198,352,4.46,1954,Alex Griffith
The Return of the King,The Lord of The Rings,3.0,J.R.R. Tolkien,3.9,7.5,8.6,4.7,4.1,5.5,137115,416,4.55,1955,Alex Griffith
Storm Front,The Dresden Files,1.0,Jim Butcher,8.0,2.0,7.0,6.0,6.5,6.0,86961,322,3.98,2000,Alex Griffith
Fool Moon,The Dresden Files,2.0,Jim Butcher,8.1,2.2,7.0,6.0,6.8,6.0,102149,352,3.99,2001,Alex Griffith
Proven Guilty,The Dresden Files,8.0,Jim Butcher,8.4,5.6,7.8,4.3,4.3,6.8,154598,547,4.37,2006,Alex Griffith
White Night,The Dresden Files,9.0,Jim Butcher,8.4,2.4,6.8,4.7,5.5,6.4,130223,407,4.37,2007,Alex Griffith
Changes,The Dresden Files,12.0,Jim Butcher,8.6,3.1,7.9,3.8,3.8,7.1,149280,438,4.5,2010,Alex Griffith
Ghost Story,The Dresden Files,13.0,Jim Butcher,8.0,2.5,5.0,4.0,5.4,5.7,162899,481,4.25,2011,Alex Griffith
Cold Days,The Dresden Files,14.0,Jim Butcher,8.2,2.5,5.6,4.8,6.2,6.5,175685,515,4.45,2012,Alex Griffith
Skin Game,The Dresden Files,15.0,Jim Butcher,8.8,6.3,4.5,4.1,5.7,7.9,151922,454,4.56,2014,Alex Griffith
Peace Talks,The Dresden Files,16.0,Jim Butcher,8.5,3.5,5.0,4.0,6.0,5.5,112240,340,4.21,2020,Alex Griffith
Battle Ground,The Dresden Files,17.0,Jim Butcher,9.5,3.5,4.5,3.5,2.0,7.5,134265,432,4.39,2020,Alex Griffith
Bioshock: Rapture,Bioshock,1.0,John Shirley,3.4,5.0,2.4,2.1,5.0,5.0,132756,432,4.0,2011,Kristen Merke
Senlin Ascends,The Books of Babel,1.0,Josiah Bancroft,2.1,5.5,5.1,3.6,3.9,5.7,131372,448,4.16,2013,Alex Griffith
This Dark Endeavor,Victor Frankenstien Series,1.0,Kenneth Oppel,1.8,2.9,2.3,4.3,4.3,5.2,114816,298,3.82,2011,Kristen Merke
Like Water For Chocolate,Como Agua Par Chocolat,1.0,Laura Esquival,2.0,2.0,9.0,6.0,6.0,4.4,66378,256,3.95,1989,Kristen Merke
